abandon оставить
alike похожий
alive живой
all все
all right в порядке
allegation утверждение
allege утверждать
allegedly якобы
alliance альянс
allocate распределять
allocation распределение
allow позволять
allowance пособие
ally союзник
almost почти
alone один
along вдоль
alongside рядом
already уже
also тоже
alter изменять
alternative альтернатива
although хотя
altogether в целом
aluminium алюминий
always всегда
amateur самодеятельный
amazed пораженный
amazing удивительный
ambassador посол
ambition амбиция
ambitious амбициозный
ambulance скорая помощь
amend исправлять
amendment поправка
amid среди
among среди
amount сумма
amusing забавный
analogy аналогия
analyse анализировать
analysis анализ
analyst аналитик
ancestor предок
anchor якорь
ancient древний
and и
angel ангел
anger гнев
angle угол
angrily сердито
angry сердитый
animal животное
animation анимация
ankle лодыжка
anniversary годовщина
announce объявлять
announcement объявление
annoy раздражать
annoyed раздраженный
annoying раздражающий
annual ежегодный
annually ежегодно
anonymous анонимный
another другой
answer ответ
anticipate предвидеть
anxiety тревожность
anxious озабоченный
any любой
any more больше
anybody никто
anyone кто угодно
anything что угодно
anyway в любом случае
anywhere везде
apart отдельно
apartment квартира
apologize извиняться
apology извинение
app приложение
apparatus устройство
apparent очевидный
apparently вероятно
appeal обращение
appealing привлекательный
appear появиться
appearance внешность
appetite аппетит
applaud аплодировать
apple яблоко
applicable применимый
applicant заявитель
application приложение
apply применять
appoint назначать
appointment назначение
appreciate ценить
appreciation признательность
approach подход
appropriate подходящий
appropriately соответственно
approval утверждение
approve одобрить
approximately примерно
april апрель
arbitrary произвольный
architect архитектор
architectural архитектурный
architecture архитектура
archive архив
area область
arena арена
arguably вероятно
argue спорить
argument аргумент
arise возникать
arm рука
armed вооруженный
arms оружие
army армия
around вокруг
arrange организовать
arrangement расположение
array массив
arrest арестовывать
arrival прибытие
arrive прибывать
arrow стрела
art искусство
article статья
articulate формулировать
artificial искусственный
artist художник
artistic художественный
artwork произведение искусства
as как
ash пепел
ashamed пристыженный
aside в сторону
ask спрашивать
asleep спящий
aspect аспект
aspiration стремление
aspire стремиться
assassination убийство
assault нападение
assemble собирать
assembly собрание
assert утверждать
assertion утверждение
assess оценивать
assessment оценка
asset имущество
assign назначить
assignment назначение
assist помогать
assistance помощь
assistant помощник
associate связывать
associated связанный
association ассоциация
assume предполагать
assumption предположение
assurance гарантия
assure уверять
astonishing удивительный
asylum убежище
at на
athlete спортсмен
atmosphere атмосфера
atrocity зверство
attach прикреплять
attachment привязанность
attack атака
attain достигать
attempt попытка
attend посещать
attendance посещаемость
attention внимание
attitude отношение
attorney адвокат
attract привлекать
attraction привлекательность
attractive привлекательный
attribute атрибут
auction аукцион
audience аудитория
audio аудио
audit аудит
august август
aunt тетя
authentic аутентичный
author автор
authority авторитет
authorize авторизовать
auto авто
automatic автомат
automatically автоматически
autonomy автономия
autumn осень
availability доступность
available доступный
average обычный
avoid избегать
await ожидать
award награда
aware осведомленный
awareness осведомленность
away прочь
awful ужасный
awkward неловкий
baby младенец
back назад
backdrop фон
background фон
backing поддержка
backup резервная копия
backwards назад
bacteria бактерионоситель
bad плохой
badge значок
badly дурно
bag сумка
bail поручительство
bake испечь
balance баланс
balanced сбалансированный
ball мяч
ballet балет
balloon воздушный шар
ballot голосование
ban бан
banana банан
band группа
bank банк
banner баннер
bar бар
bare обнажать
barely едва
bargain сделка
barrel бочка
barrier барьер
base база
baseball бейсбол
based основывающийся
basement подвал
basic основной
basically в основном
basis основа
basket корзина
basketball баскетбол
bass бас
bat летучая мышь
bath ванна
bathroom ванная
battery батарея
battle битва
battlefield поле битвы
bay залив
be быть
beach пляж
beam луч
bean боб
bear медведь
beast зверь
beat бить
beautiful красивый
beauty красота
because потому что
become становиться
bed кровать
bedroom спальня
bee пчела
beef говядина
beer пиво
before до
beg умолять
begin начать
beginning начало
behalf от имени
behave вести себя
behaviour поведение
behind позади
being существование
belief вера
believe верить
bell колокол
belong принадлежать
beloved возлюбленный
below ниже
belt пояс
bench скамейка
benchmark показатель
bend изгиб
beneath под
beneficial выгодный
beneficiary выгодоприобретатель
benefit выгода
bent изогнутый
beside рядом
besides кроме того
best лучший
bet ставка
betray предавать
better лучше
between между
beyond за
bias предвзятость
bicycle велосипед
bid заявка
big большой
bike велосипед
bill законопроект
billion миллиард
bin мусорное ведро
bind связывать
biography биография
biological биологический
biology биология
bird птица
birth рождение
birthday день рождения
biscuit печенье
bishop епископ
bit немного
bite кусать
bitter горький
bizarre странный
black черный
blade лезвие
blame вина
blank пустой
blanket одеяло
blast взрыв
bleed кровоточить
blend смесь
bless благословить
blessing благословение
blind слепой
block блок
blog блог
blonde блондин
blood кровь
blow дуть
blue синий
board доска
boast хвастовство
boat лодка
body тело
boil варить
bold жирный
bomb бомба
bombing бомбардировка
bond связь
bone кость
bonus бонус
book книга
booking бронирование
boom бум
boost повышать
boot ботинок
border граница
bored скучающий
boring скучный
born рожденный
borrow одолжить
boss босс
both оба
bother беспокоить
bottle бутылка
bottom дно
bounce подпрыгивать
bound связанный
boundary граница
bow лук
bowl чаша
box коробка
boy мальчик
boyfriend парень
brain мозг
branch ветка
brand марка
brave храбрый
breach нарушение
bread хлеб
break перерыв
breakdown разрушение
breakfast завтрак
breakthrough прорыв
breast грудная клетка
breath дыхание
breathe дышать
breathing дыхание
breed разводить
brick кирпич
bride невеста
bridge мост
brief краткий
briefly кратко
bright яркий
brilliant блестящий
bring приносить
broad широкий
broadband широкополосный
broadcast телепередача
broadcaster передатчик
broadly широко
broken сломанный
brother брат
brown коричневый
browser браузер
brush щетка
brutal грубый
bubble пузырь
buck бакс
buddy дружище
budget бюджет
buffer буфер
bug жук
build строить
building здание
bulk большая часть
bullet пуля
bunch пучок
burden бремя
bureaucracy бюрократия
burial захоронение
burn жечь
burst взрыв
bury закапывать
bus автобус
bush Буш
business бизнес
businessman бизнесмен
busy оживленный
but но
butter сливочное масло
button кнопка
buy покупать
by по
bye пока
cabin кабина
cabinet кабинет
cable кабель
cafe кофейня
cake торт
calculate вычислять
calculation расчет
call вызов
calm спокойный
camera камера
camp лагерь
campaign кампания
camping кемпинг
campus кампус
can мочь
canal канал
cancel отменять
cancer рак
candidate кандидат
candle свеча
canvas холст
cap шапка
capability способность
capable способный
capacity вместимость
capital столица
capitalism капитализм
capitalist капиталистический
captain капитан
capture захватить
car машина
carbon углерод
card карта
care забота
career карьера
careful осторожный
carefully внимательно
careless беспечный
cargo груз
carpet ковер
carriage коляска
carrot морковь
carry нести
cartoon мультфильм
carve вырезать
case дело
cash наличные деньги
casino казино
cast бросать
castle замок
casual случайный
casualty несчастный случай
cat кошка
catalogue каталог
catch ловить
category категория
cater обслуживать
cattle крупный рогатый скот
cause причина
caution осторожность
cautious осторожный
cave пещера
cd компакт
cease прекращение
ceiling потолок
celebrate праздновать
celebration празднование
celebrity знаменитость
cell ячейка
cemetery кладбище
cent цент
central центральный
centre центр
century век
ceremony церемония
certain определенный
certainly конечно
certainty определенность
certificate сертификат
chain цепь
chair стул
chairman председатель
challenge вызов
challenging вызывающий
chamber камера
champion чемпион
championship чемпионат
chance шанс
change менять
channel канал
chaos хаос
chapter глава
character характер
characteristic характеристика
characterize характеризовать
charge заряжать
charity благотворительность
charm очарование
charming очаровательный
chart диаграмма
charter чартер
chase преследовать
chat болтать
cheap дешевый
cheat обманывать
check проверять
cheek щека
cheer ободрить
cheerful веселый
cheese сыр
chef шеф-повар
chemical химический
chemistry химия
chest грудная клетка
chicken курица
chief главный
child ребенок
childhood детство
chip чип
chocolate шоколад
choice выбор
choir хор
choose выбирать
chop рубить
chronic хронический
chunk кусок
church церковь
cigarette сигарета
cinema кинотеатр
circle круг
circuit схема
circulate циркулировать
circulation циркуляция
circumstance условие
cite цитировать
citizen гражданин
citizenship гражданство
city город
civic гражданский
civil гражданский
civilian гражданский
civilization цивилизация
claim претензия
clarify уточнить
clarity ясность
clash столкновение
class класс
classic классический
classical классический
classification классификация
classify классифицировать
classroom класс
clause пункт
clean чистый
cleaning уборка
clear понятно
clearly ясно
clerk служащий
clever умный
click щелчок
client клиент
cliff утес
climate климат
climb взбираться
cling цепляться
clinic клиника
clinical клинический
clip зажим
clock часы
close закрывать
closed закрытый
closely тесно
closure закрытие
cloth ткань
clothes одежда
clothing одежда
cloud облако
club клуб
clue ключ
cluster скопление
coach тренер
coal уголь
coalition коалиция
coast побережье
coastal береговой
coat пальто
cocktail коктейль
code код
coffee кофе
cognitive мыслительный
coin монета
coincide совпадать
coincidence совпадение
cold простуда
collaborate сотрудничать
collaboration сотрудничество
collapse коллапс
colleague коллега
collect собирать
collection коллекция
collective общий
collector сборщик
college колледж
collision столкновение
colonial колониальный
colony колония
colour цвет
coloured цветной
colourful красочный
column колонка
columnist обозреватель
combat бой
combination сочетание
combine объединять
come приходить
comedy комедия
comfort комфорт
comfortable удобный
comic комический
command команда
commander командир
commence начинать
comment комментарий
commentary комментарий
commentator комментатор
commerce коммерция
commercial коммерческий
commission комиссия
commissioner комиссар
commit совершить
commitment обязательство
committee комитет
commodity товар
common общий
commonly обычно
communicate общаться
communication коммуникация
communist коммунистический
community сообщество
companion компаньон
company компания
comparable сравнимый
comparative сравнительный
compare сравнивать
comparison сравнение
compassion сострадание
compel принуждать
compelling неотразимый
compensate компенсировать
compensation компенсация
compete конкурировать
competence компетенция
competent компетентный
competition соревнование
competitive конкурентный
competitor конкурент
compile компилировать
complain жаловаться
complaint жалоба
complement дополнение
complete полный
completely полностью
completion завершение
complex сложный
complexity сложность
compliance соответствие
complicated сложный
complication усложнение
comply соблюдать
component компонент
compose составить
composer композитор
composition композиция
compound соединение
comprehensive комплексный
comprise включать
compromise компромисс
compulsory обязательный
compute вычислять
computer компьютер
conceal скрывать
concede уступать
conceive воспринимать
concentrate концентрат
concentration сосредоточенность
concept концепция
conception концепция
concern беспокойство
concerned обеспокоенный
concert концерт
concession уступка
conclude заключать
conclusion заключение
concrete бетон
condemn осуждать
condition состояние
conduct провести
confer совещаться
conference конференция
confess исповедоваться
confession признание
confidence уверенность
confident уверенный
configuration конфигурация
confine ограничивать
confirm подтверждать
confirmation подтверждение
conflict конфликт
confront противостоять
confrontation конфронтация
confuse смущать
confused смущенный
confusing сбивающий с толку
confusion путаница
congratulate поздравлять
congregation конгрегация
congressional конгресса
connect связываться
connected связанный
connection соединение
conquer завоевывать
conscience совесть
conscious сознательный
consciousness сознание
consecutive последовательный
consensus соглашение
consent согласие
consequence последствие
consequently вследствие
conservation сохранение
conservative консервативный
conserve сохранять
consider рассматривать
considerable значительный
considerably значительно
consideration рассмотрение
consist состоять
consistency консистенция
consistent последовательный
consistently последовательно
consolidate консолидировать
conspiracy заговор
constant постоянный
constantly постоянно
constituency избирательный округ
constitute составлять
constitution Конституция
constitutional конституционный
constraint ограничение
construct сооружать
construction строительство
consult советоваться
consultant консультант
consultation консультация
consume потреблять
consumer потребитель
consumption потребление
contact контакт
contain содержать
container контейнер
contemplate созерцать
contemporary современный
contempt презрение
contend бороться
contender претендент
content содержание
contention раздор
contest соревнование
context контекст
continent континент
continually непрерывно
continue продолжить
continuous непрерывный
contract контракт
contractor подрядчик
contradiction противоречие
contrary противоположность
contrast контраст
contribute способствовать
contribution вклад
contributor участник
control контроль
controversial спорный
controversy разногласия
convenience удобство
convenient удобный
convention Конвенция
conventional обычный
conversation разговор
conversion преобразование
convert преобразовать
convey передавать
convict осуждать
conviction убеждение
convince убеждать
convinced убежденный
convincing убедительный
cook готовить
cooker кухонная плита
cooking приготовление еды
cool крутой
cooperate сотрудничать
cooperative кооператив
coordinate координировать
coordination координация
coordinator координатор
cop полицейский
cope справляться
copper медь
copy копировать
copyright авторское право
core ядро
corner угол
corporate корпоративный
corporation корпорация
correct правильный
correction правка
correctly правильно
correlate соотносить
correlation взаимосвязь
correspond соответствовать
correspondence переписка
correspondent корреспондент
corresponding соответствующий
corridor коридор
corrupt продажный
corruption коррупция
cost стоимость
costly дорогостоящий
costume костюм
cottage коттедж
cotton хлопок
could мочь
council Совет
councillor советник
counselling консультирование
counsellor советник
count считать
counter счетчик
counterpart копия
countless бесчисленный
country страна
countryside сельская местность
county округ
coup переворот
couple пара
courage мужество
course курс
court суд
courtesy вежливость
cousin двоюродный брат
cover покрытие
coverage покрытие
covered покрытый
cow корова
crack трещина
craft ремесло
crash авария
crawl ползать
crazy сумасшедший
cream крем
create творить
creation создание
creative творческий
creativity креативность
creator создатель
creature существо
credibility доверие
credible убедительный
credit кредит
creep ползать
crew экипаж
crime преступление
criminal преступный
crisis кризис
criterion критерий
critic критик
critical критический
critically критически
criticism критика
criticize критиковать
critique критика
crop урожай
cross сердитый
crowd толпа
crowded переполненный
crown корона
crucial ключевой
crude сырой
cruel жестокий
cruise круиз
crush раздавить
cry плакать
crystal кристалл
cue знак
cult культ
cultivate культивировать
cultural культурный
culture культура
cup чашка
cupboard буфет
cure лечение
curiosity любопытство
curious любопытный
curly кудрявый
currency валюта
current текущий
currently в настоящий момент
curriculum учебный план
curtain занавес
curve кривая
curved изогнутый
custody опека
custom традиция
customer покупатель
cut резать
cute милый
cutting резка
cycle цикл
cynical циничный
dad папа
daily ежедневный
dairy молочный
dam дамба
damage повреждение
damaging повреждающий
dance танец
dancer танцор
dancing танцы
danger опасность
dangerous опасный
dare осмеливаться
dark темный
darkness темнота
data данные
database база данных
date дата
daughter дочь
dawn рассвет
day день
dead мертвый
deadline крайний срок
deadly смертоносный
deal сделка
dealer дилер
dear дорогой
death смерть
debate дискуссия
debris развалины
debt долг
debut дебют
decade десятилетие
december декабрь
decent порядочный
decide решать
decision решение
decision-making принятие решений
decisive решающий
deck палуба
declaration декларация
declare объявлять
decline снижение
decorate украшать
decoration украшение
decrease уменьшать
dedicated посвященный
dedication преданность
deed поступок
deem считать
deep глубокий
deeply глубоко
default по умолчанию
defeat поражение
defect дефект
defence защита
defend защищать
defender защитник
defensive оборонительный
deficiency дефицит
deficit дефицит
define определять
definite определенный
definitely определенно
definition определение
defy игнорировать
degree степень
delay задержка
delegate делегат
delegation делегация
delete удалить
deliberate преднамеренный
deliberately намеренно
delicate нежный
delicious вкусный
delight восторг
delighted восхищенный
deliver доставлять
delivery доставка
demand требование
democracy демократия
democratic демократический
demon демон
demonstrate демонстрировать
demonstration демонстрация
denial отказ
denounce денонсировать
dense плотный
density плотность
dentist стоматолог
deny отрицать
depart уезжать
department отдел
departure отправление
depend зависеть
dependence зависимость
dependent зависимый
depict изображать
deploy развертывать
deployment развертывание
deposit депозит
depressed подавленный
depressing унылый
depression депрессия
deprive лишать
depth глубина
deputy заместитель
derive выводить
descend спускаться
descent спуск
describe описывать
description описание
desert пустыня
deserve заслуживать
design дизайн
designate назначать
designer дизайнер
desirable желательный
desire желание
desk рабочий стол
desktop рабочий стол
desperate отчаянный
desperately отчаянно
despite несмотря на
destination место назначения
destroy уничтожать
destruction разрушение
destructive разрушительный
detail деталь
detailed подробный
detain задерживать
detect обнаружить
detection обнаружение
detective детектив
detention задержание
deteriorate ухудшаться
determination определение
determine определять
determined определенный
devastate опустошать
develop развивать
development развитие
device устройство
devil дьявол
devise разрабатывать
devote посвятить
diagnose диагностировать
diagnosis диагноз
diagram диаграмма
dialogue диалог
diamond бриллиант
diary дневник
dictate диктовать
dictator диктатор
dictionary словарь
die умирать
diet диета
differ отличаться
difference разница
different различный
differentiate дифференцировать
differently иначе
difficult трудный
difficulty трудность
dig копать
digital цифровой
dignity достоинство
dilemma дилемма
dimension измерение
diminish уменьшать
dinner обед
dip макать
diplomat дипломат
diplomatic дипломатический
direct прямой
direction направление
directly непосредственно
director директор
directory каталог
dirt грязь
dirty грязный
disability инвалидность
disabled отключенный
disadvantage недостаток
disagree не соглашаться
disagreement разногласие
disappear исчезнуть
disappoint разочаровывать
disappointed разочарованный
disappointing разочаровывающий
disappointment разочарование
disaster катастрофа
disastrous гибельный
disc диск
discard отбрасывать
discharge разряд
discipline дисциплина
disclose раскрывать
disclosure раскрытие
discount скидка
discourage отговаривать
discourse рассуждение
discover обнаруживать
discovery открытие
discretion осмотрительность
discrimination дискриминация
discuss обсуждать
discussion обсуждение
disease болезнь
dish блюдо
dishonest нечестный
dislike неприязнь
dismiss отклонять
dismissal роспуск
disorder расстройство
displace переместить
display дисплей
disposal удаление
dispose располагать
dispute спор
disrupt срывать
disruption нарушение
dissolve растворять
distance расстояние
distant отдаленный
distinct отчетливый
distinction различие
distinctive отличительный
distinguish различать
distort искажать
distract отвлекать
distress горе
distribute распространять
distribution распределение
district район
disturb беспокоить
disturbing беспокоящий
dive нырять
diverse разнообразный
diversity разнообразие
divert отвлечь
divide делить
divine святой
division деление
divorce расторжение брака
divorced разведенный
do делать
doctor врач
doctrine доктрина
document документ
documentary документальное кино
documentation документация
dog собака
dollar доллар
domain домен
domestic внутренний
dominance господство
dominant доминирующий
dominate доминировать
donate жертвовать
donation пожертвование
donor донор
door дверь
dose доза
dot точка
double двойной
doubt сомнение
down вниз
download скачать
downstairs внизу
downtown в центре города
downwards вниз
dozen дюжина
draft проект
drag тащить
drain истощать
drama драма
dramatic драматичный
dramatically драматично
draw рисовать
drawing рисунок
dream мечта
dress платье
dressed одетый
drift дрейф
drink пить
drive водить
driver водитель
driving вождение
drop капля
drought засуха
drown тонуть
drug медикамент
drum барабан
drunk пьяный
dry сухой
dual двойной
dub дублировать
due надлежащий
dull скучный
dumb тупой
dump свалка
duo дуэт
duration продолжительность
during в течение
dust пыль
duty обязанность
dvd цифровой видеодиск
dynamic динамический
each каждый
eager жаждущий
ear ухо
early ранний
earn зарабатывать
earnings прибыль
earth земля
earthquake землетрясение
ease легкость
easily легко
east Восток
eastern восточный
easy простой
eat есть
echo эхо
ecological экологический
economic экономический
economics экономика
economist экономист
economy экономика
edge край
edit редактировать
edition издание
editor редактор
editorial редакционный
educate обучать
educated образованный
education образование
educational образовательный
educator воспитатель
effect эффект
effective эффективный
effectively эффективно
effectiveness эффективность
efficiency эффективность
efficient эффективный
efficiently продуктивно
effort усилие
egg яйцо
ego эго
eight восемь
eighteen восемнадцать
eighty восемьдесят
either любой
elaborate разрабатывать
elbow локоть
elderly пожилой
elect избирать
election выборы
electoral избирательный
electric электрический
electrical электрический
electricity электричество
electronic электронный
electronics электроника
elegant элегантный
element элемент
elementary начальный
elephant слон
elevate поднимать
eleven одиннадцать
eligible приемлемый
eliminate устранить
elite элита
else еще
elsewhere в другом месте
email электронная почта
embark начинать
embarrassed смущенный
embarrassing смущающий
embarrassment смущение
embassy посольство
embed встроить
embody воплощать
embrace обнять
emerge всплывать
emergence появление
emergency чрезвычайная ситуация
emission излучение
emotion эмоция
emotional эмоциональный
emotionally эмоционально
emphasis акцент
emphasize подчеркивать
empire империя
empirical эмпирический
employ использовать
employee работник
employer работодатель
employment трудоустройство
empower уполномочивать
empty пустой
enable включить
enact предписывать
encompass охватывать
encounter столкновение
encourage поощрять
encouragement поощрение
encouraging обнадеживающий
end конец
endeavour стремление
ending окончание
endless бесконечный
endorse одобрять
endorsement поддержка
endure терпеть
enemy враг
energy энергия
enforce принуждать
enforcement принуждение
engage вовлекать
engaged обрученный
engagement помолвка
engaging обаятельный
engine двигатель
engineer инженер
engineering инженерное искусство
enhance усилить
enjoy наслаждаться
enjoyable приятный
enormous огромный
enough достаточно
enquire спрашивать
enquiry запрос
enrich обогащать
enrol регистрировать
ensue следовать
ensure гарантировать
enter входить
enterprise предприятие
entertain развлекать
entertaining развлекательный
entertainment развлечение
enthusiasm энтузиазм
enthusiast энтузиаст
enthusiastic восторженный
entire весь
entirely полностью
entitle давать право
entity сущность
entrance вход
entrepreneur предприниматель
entry вход
envelope конверт
environment окружающая среда
environmental экологический
epidemic эпидемия
episode эпизод
equal равный
equality равенство
equally поровну
equation уравнение
equip оборудовать
equipment оборудование
equivalent эквивалент
era эра
erect возводить
error ошибка
erupt извергаться
escalate обострять
escape побег
especially особенно
essay сочинение
essence сущность
essential существенный
essentially по существу
establish установить
establishment учреждение
estate имущество
estimate оценивать
eternal вечный
ethic этичный
ethical этический
ethnic этнический
euro евро
evacuate эвакуировать
evaluate оценивать
evaluation оценка
even даже
evening вечер
event событие
eventually в итоге
ever всегда
every каждый
everybody все
everyday ежедневный
everyone каждый
everything все
everywhere везде
evidence доказательства
evident очевидный
evil зло
evoke вызывать
evolution эволюция
evolutionary эволюционный
evolve развиваться
exact точный
exactly именно
exaggerate преувеличивать
exam экзамен
examination проверка
examine исследовать
example пример
exceed превышать
excellence превосходство
excellent отличный
except кроме
exception исключение
exceptional исключительный
excess избыток
excessive чрезмерный
exchange обмен
excited взволнованный
excitement волнение
exciting захватывающий
exclude исключать
exclusion исключение
exclusive эксклюзивный
exclusively исключительно
excuse оправдание
execute выполнять
execution исполнение
executive исполнительный
exercise упражнение
exert оказывать
exhibit экспонат
exhibition выставка
exile ссыльный
exist существовать
existence существование
exit выход
exotic экзотический
expand расширять
expansion расширение
expect ожидать
expectation ожидание
expected ожидаемый
expedition экспедиция
expenditure расходование
expense расход
expensive дорогой
experience опыт
experienced опытный
experiment эксперимент
experimental экспериментальный
expert эксперт
expertise экспертиза
expire истекать
explain объяснять
explanation объяснение
explicit явный
explicitly явно
explode взрывать
exploit эксплуатировать
exploitation эксплуатация
exploration исследование
explore исследовать
explosion взрыв
explosive взрывчатый
export экспорт
expose разоблачать
exposure воздействие
express курьерский
expression выражение
extend расширять
extension расширение
extensive обширный
extensively широко
extent степень
external внешний
extra дополнительный
extract извлекать
extraordinary необычный
extreme экстремальный
extremely чрезвычайно
extremist экстремист
eye глаз
fabric ткань
fabulous потрясающий
face лицо
facilitate содействовать
facility объект
fact факт
faction фракция
factor фактор
factory завод
faculty факультет
fade увядать
fail потерпеть неудачу
failed провалившийся
failure неудача
fair справедливый
fairly довольно
fairness справедливость
faith вера
fake подделка
fall падать
fame слава
familiar знакомый
family семья
famous известный
fan вентилятор
fancy маскарадный
fantastic фантастический
fantasy фантазия
far далеко
fare плата за проезд
farm ферма
farmer фермер
farming сельское хозяйство
fascinating очаровательный
fashion мода
fashionable модный
fast быстрый
fasten скрепить
fat жир
fatal роковой
fate судьба
father отец
fault ошибка
favour одолжение
favourable благоприятный
favourite любимый
fear страх
feat подвиг
feather перо
feature особенность
february февраль
federal федеральный
fee взнос
feed кормить
feedback обратная связь
feeding кормление
feel чувствовать
feeling чувство
fellow товарищ
female женский
feminist феминистка
fence забор
festival фестиваль
fever лихорадка
few несколько
fibre волокно
fiction вымысел
field поле
fierce свирепый
fifteen пятнадцать
fifth пятый
fifty пятьдесят
fight битва
fighting драка
figure фигура
file файл
fill заполнять
film фильм
film-maker режиссер
filter фильтр
final окончательный
finally наконец
finance финансы
financial финансовый
find находить
finding обнаружение
fine штраф
finger палец
finish заканчивать
fire огонь
firearm огнестрельный
firefighter пожарный
firework фейерверк
firm твердый
firmly строгий
first первый
firstly во-первых
fish рыба
fishing рыболовство
fit подходить
fitness фитнес
five пять
fix исправить
fixed фиксированный
fixture приспособление
flag флаг
flame пламя
flash вспышка
flat квартира
flavour аромат
flaw недостаток
flawed испорченный
flee бежать
fleet флот
flesh плоть
flexibility гибкость
flexible гибкий
flight полет
float плыть
flood наводнение
floor этаж
flour мука
flourish процветать
flow поток
flower цветок
flu грипп
fluid жидкость
fly летать
flying летающий
focus сосредоточить
fold сгибать
folding складной
folk народ
follow следовать
following следующий
fond любящий
food еда
fool дурак
foot нога
footage метраж
football футбол
for для
forbid запретить
force сила
forecast прогноз
foreign иностранный
foreigner иностранец
forest лес
forever навсегда
forge ковать
forget забывать
forgive прощать
fork вилка
form форма
formal формальный
format формат
formation образование
former бывший
formerly прежде
formula формула
formulate формулировать
forth вперед
forthcoming предстоящий
fortunate удачливый
fortunately к счастью
fortune состояние
forty сорок
forum форум
forward вперед
fossil ископаемое
foster способствовать
found найдено
foundation основа
founder основатель
four четыре
fourteen четырнадцать
fourth четвертый
fraction крупица
fragile хрупкий
fragment фрагмент
frame рамка
framework рамки
franchise франшиза
frankly откровенно
fraud мошенничество
free свободный
freedom свобода
freely свободно
freeze замерзать
frequency частота
frequent частый
frequently часто
fresh свежий
friday пятница
fridge холодильник
friend друг
friendly дружелюбный
friendship дружба
frighten пугать
frightened испуганный
frightening пугающий
frog лягушка
from от
front фасад
frozen замороженный
fruit фрукты
frustrated несостоявшийся
frustrating разочаровывающий
frustration разочарование
fry жарить
fuel топливо
fulfil выполнять
full полный
full-time полная занятость
fully полностью
fun веселье
function функция
functional функциональный
fund фонд
fundamental основополагающий
fundamentally в корне
funding финансирование
fundraising сбор средств
funeral похороны
funny забавный
fur мех
furious яростный
furniture мебель
further дальнейший
furthermore более того
future будущее
gain получать
gallery галерея
gallon галлон
gambling азартная игра
game игра
gaming игровой
gang банда
gap пробел
garage гараж
garden сад
gas газ
gate вентиль
gather собирать
gathering сбор
gay веселый
gaze пристальный взгляд
gear механизм
gender гендер
gene ген
general главный
generally обычно
generate генерировать
generation поколение
generic общий
generous щедрый
genetic генетический
genius гений
genocide геноцид
genre жанр
gentle нежный
gentleman джентльмен
genuine подлинный
genuinely искренне
geography география
gesture жест
get получить
ghost привидение
giant гигантский
gift подарок
gig двуколка
girl девочка
girlfriend девушка
give дать
glad радостный
glance взгляд
glass стекло
glimpse проблеск
global глобальный
globalization глобализация
globe земной шар
glorious славный
glory слава
glove перчатка
go идти
goal цель
god Бог
gold золото
golden золотой
golf гольф
good хороший
goodbye до свидания
goodness доброта
goods товары
gorgeous великолепный
govern править
governance управление
government правительство
governor губернатор
grab захватывать
grace грация
grade класс
gradually постепенно
graduate выпускник
grain зерно
grand великий
grandfather дедушка
grandmother бабушка
grandparent дед
grant грант
graphic графический
graphics графика
grasp схватывание
grass трава
